"preco","idade","mes_montagem","ano_montagem","km_rodados","combustivel","cavalos_potencia","cor_metalica","cor","cambio_automatico","cilindradas","portas","marchas","impostos","peso","garantia_fabrica","garantia_revendedor","periodo_garantia","abs"
17250,29,"4",2002,20000,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1115,"sim","sim",3,"sim"
15450,25,"8",2002,17003,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"não","sim",3,"sim"
17950,31,"2",2002,16238,"Gasolina",110,"sim","Azul","sim",1600,5,5,100,1180,"sim","sim",3,"sim"
16650,25,"8",2002,15414,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"sim","sim",3,"sim"
17450,28,"5",2002,8537,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1130,"não","sim",3,"sim"
14900,30,"3",2002,7000,"Gasolina",97,"sim","Prata","não",1400,5,5,85,1100,"não","não",12,"sim"
17950,20,"1",2003,66966,"Diesel",90,"sim","Azul","não",2000,3,5,210,1245,"não","sim",3,"sim"
15950,19,"2",2003,51884,"Gasolina",97,"sim","Cinza","não",1400,3,5,85,1100,"sim","sim",3,"sim"
21950,19,"2",2003,50005,"Diesel",110,"sim","Cinza","não",2000,3,5,234,1265,"sim","sim",3,"sim"
16450,20,"1",2003,48110,"Gasolina",97,"sim","Preta","não",1400,3,5,85,1100,"sim","sim",3,"sim"
22250,20,"1",2003,37500,"Diesel",90,"sim","Preta","não",2000,3,5,234,1260,"não","sim",3,"sim"
19950,16,"5",2003,34472,"Diesel",90,"sim","Cinza","não",1995,3,5,234,1260,"não","não",3,"sim"
15950,20,"1",2003,33329,"Gasolina",97,"sim","Cinza","não",1400,3,5,85,1100,"não","sim",3,"sim"
18900,20,"1",2003,31850,"Gasolina",110,"não","Preta","não",1600,3,5,85,1120,"não","sim",20,"sim"
19950,17,"4",2003,30351,"Diesel",90,"sim","Azul","não",1995,3,5,234,1260,"não","não",3,"sim"
15950,19,"2",2003,29435,"Gasolina",97,"sim","Preta","não",1400,3,5,85,1100,"não","sim",3,"sim"
15950,19,"2",2003,25948,"Gasolina",97,"sim","Azul","não",1400,3,5,85,1100,"sim","sim",3,"sim"
18750,11,"10",2003,24500,"Gasolina",110,"sim","Azul","não",1600,3,5,85,1120,"não","não",3,"sim"
17450,18,"3",2003,23902,"Gasolina",97,"sim","Cinza","não",1400,3,5,85,1100,"sim","sim",3,"sim"
18990,20,"1",2003,23175,"Gasolina",110,"sim","Cinza","não",1600,3,5,85,1120,"sim","sim",3,"sim"
16250,19,"2",2003,19200,"Gasolina",97,"sim","Azul","não",1400,3,5,85,1100,"não","sim",3,"sim"
18500,13,"8",2003,18000,"Gasolina",71,"não","Cinza","não",1400,3,5,85,1125,"não","sim",12,"sim"
18500,11,"10",2003,16123,"Gasolina",110,"sim","Cinza","não",1600,3,5,85,1105,"sim","sim",3,"sim"
19450,11,"10",2003,14635,"Gasolina",110,"sim","Azul","sim",1600,3,5,100,1155,"sim","sim",3,"sim"
16950,19,"2",2003,13748,"Gasolina",97,"sim","Verde","não",1400,3,5,85,1100,"sim","sim",3,"sim"
18800,14,"7",2003,11500,"Gasolina",110,"sim","Azul","não",1600,3,5,69,1045,"não","não",12,"sim"
17450,17,"4",2003,10000,"Gasolina",97,"sim","Cinza","não",1400,3,5,85,1100,"sim","sim",3,"sim"
17950,20,"1",2003,7187,"Gasolina",110,"sim","Azul","não",1600,3,5,85,1105,"sim","sim",3,"sim"
32500,4,"5",2004,1,"Diesel",116,"não","Cinza","não",2000,5,5,283,1480,"sim","sim",3,"sim"
31000,4,"5",2004,4000,"Diesel",116,"sim","Cinza","não",2000,5,5,283,1480,"não","sim",3,"sim"
31275,4,"5",2004,1500,"Diesel",116,"sim","Cinza","não",2000,5,5,283,1480,"sim","sim",3,"sim"
24950,8,"1",2004,13253,"Diesel",116,"sim","Cinza","não",2000,5,5,234,1320,"não","não",3,"sim"
24950,8,"1",2004,13253,"Diesel",116,"sim","Cinza","não",2000,5,5,234,1320,"não","não",3,"sim"
22950,7,"2",2004,10000,"Diesel",116,"sim","Prata","não",2000,5,5,234,1270,"não","sim",3,"sim"
24990,8,"1",2004,6000,"Diesel",90,"sim","Cinza","não",2000,5,5,234,1280,"sim","sim",3,"sim"
21950,8,"1",2004,10841,"Diesel",90,"sim","Cinza","não",2000,5,5,234,1270,"não","sim",3,"sim"
17900,7,"2",2004,1,"Gasolina",110,"sim","Cinza","não",1600,3,5,85,1105,"não","sim",3,"sim"
19250,20,"1",2003,63000,"Diesel",90,"sim","Azul","não",2000,5,5,234,1255,"não","sim",3,"sim"
22250,17,"4",2003,57313,"Diesel",110,"sim","Azul","não",2000,5,5,234,1275,"sim","sim",3,"sim"
18950,13,"8",2003,57037,"Gasolina",110,"não","Prata","não",1600,5,5,85,1115,"não","sim",3,"sim"
19950,19,"2",2003,51099,"Diesel",90,"sim","Prata","não",2000,5,5,234,1255,"não","não",3,"sim"
16350,14,"7",2003,40010,"Gasolina",110,"sim","Preta","não",1600,5,5,85,1115,"sim","sim",3,"sim"
18950,20,"1",2003,39115,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1130,"sim","sim",3,"sim"
16950,17,"4",2003,36012,"Gasolina",110,"não","Vermelha","não",1600,5,5,85,1130,"sim","sim",3,"sim"
21750,16,"5",2003,36000,"Gasolina",110,"sim","Preta","não",1600,5,5,85,1130,"sim","sim",3,"sim"
15950,20,"1",2003,36000,"Gasolina",110,"sim","Azul","não",1600,5,5,19,1075,"não","sim",3,"sim"
16500,20,"1",2003,35000,"Gasolina",97,"sim","Azul","não",1400,5,5,85,1110,"não","não",3,"sim"
17950,17,"4",2003,33740,"Gasolina",97,"sim","Azul","não",1400,5,5,85,1135,"não","sim",3,"sim"
15850,13,"8",2003,33477,"Gasolina",110,"sim","Preta","não",1600,5,5,19,1075,"não","não",3,"sim"
16250,20,"1",2003,32627,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"não","sim",3,"sim"
15950,20,"1",2003,29797,"Gasolina",97,"sim","Azul","não",1400,5,5,85,1110,"sim","sim",3,"sim"
16250,19,"2",2003,29441,"Gasolina",97,"sim","Azul","não",1400,5,5,85,1110,"não","sim",3,"sim"
15950,13,"8",2003,29371,"Gasolina",110,"sim","Preta","não",1600,4,5,19,1105,"não","não",24,"sim"
16500,20,"1",2003,29000,"Gasolina",97,"não","Azul","não",1400,5,5,85,1110,"não","sim",3,"sim"
16500,19,"2",2003,27821,"Gasolina",97,"não","Cinza","não",1400,5,5,85,1110,"sim","sim",3,"sim"
18450,19,"2",2003,27371,"Gasolina",97,"não","Preta","não",1400,5,5,85,1135,"não","sim",3,"sim"
16250,13,"8",2003,25170,"Gasolina",110,"sim","Preta","não",1600,5,5,19,1105,"não","não",24,"sim"
23000,11,"10",2003,25000,"Diesel",116,"sim","Cinza","não",2000,5,5,64,1320,"não","não",3,"sim"
19900,20,"1",2003,23000,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1130,"não","não",3,"sim"
16450,20,"1",2003,22588,"Gasolina",97,"sim","Prata","não",1400,5,5,85,1110,"sim","sim",3,"sim"
23950,19,"2",2003,21684,"Gasolina",192,"sim","Prata","não",1800,5,5,19,1185,"não","sim",12,"sim"
19950,13,"8",2003,21428,"Gasolina",110,"sim","Preta","não",1600,5,5,85,1130,"sim","sim",3,"sim"
18500,16,"5",2003,20629,"Gasolina",110,"sim","Cinza","não",1600,4,5,85,1090,"sim","sim",3,"sim"
18950,15,"6",2003,20270,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1130,"sim","sim",3,"sim"
16450,16,"5",2003,20105,"Gasolina",97,"não","Preta","não",1400,5,5,85,1110,"sim","sim",3,"sim"
20500,20,"1",2003,20000,"Gasolina",110,"não","Azul","sim",1600,5,5,100,1165,"não","sim",3,"sim"
24500,13,"8",2003,19988,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1130,"sim","sim",3,"sim"
19450,19,"2",2003,18328,"Gasolina",110,"não","Cinza","não",1600,5,5,85,1130,"sim","sim",3,"sim"
20950,14,"7",2003,17896,"Gasolina",110,"sim","Prata","sim",1600,4,5,85,1150,"não","sim",3,"sim"
17200,20,"1",2003,17300,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"sim","sim",3,"sim"
19950,19,"2",2003,17038,"Gasolina",110,"não","Preta","não",1600,5,5,85,1130,"sim","sim",3,"sim"
18450,10,"11",2003,13747,"Gasolina",97,"sim","Preta","não",1400,5,5,85,1110,"sim","sim",3,"sim"
19500,12,"9",2003,13634,"Gasolina",110,"sim","Prata","não",1600,5,5,85,1115,"sim","sim",3,"sim"
21750,13,"8",2003,13178,"Gasolina",110,"sim","Preta","não",1600,5,5,85,1130,"sim","sim",3,"sim"
16868,15,"6",2003,13157,"Gasolina",97,"sim","Azul","não",1400,4,5,85,1085,"sim","sim",3,"sim"
19500,16,"5",2003,13000,"Gasolina",110,"sim","Cinza","não",1600,4,5,85,1105,"sim","sim",3,"sim"
18900,11,"10",2003,12500,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1115,"sim","sim",3,"sim"
19750,17,"4",2003,11999,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1130,"não","sim",3,"sim"
19750,16,"5",2003,11754,"Gasolina",110,"não","Cinza","sim",1600,5,5,100,1180,"não","sim",3,"sim"
18950,16,"5",2003,11000,"Gasolina",110,"sim","Azul","não",1600,4,5,85,1105,"sim","sim",3,"sim"
20750,17,"4",2003,10000,"Gasolina",110,"não","Prata","não",1598,5,5,85,1105,"não","sim",12,"sim"
19600,9,"12",2003,7650,"Gasolina",110,"sim","Prata","não",1600,5,5,85,1115,"não","sim",3,"sim"
19500,14,"7",2003,6500,"Gasolina",110,"sim","Prata","não",1600,4,5,85,1100,"não","sim",28,"sim"
17650,11,"10",2003,6155,"Gasolina",97,"sim","Azul","não",1400,5,5,85,1110,"sim","sim",3,"sim"
19950,14,"7",2003,6000,"Gasolina",110,"não","Azul","não",1600,5,5,85,1130,"não","sim",3,"sim"
19950,14,"7",2003,5459,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1130,"não","sim",3,"sim"
20950,14,"7",2003,5278,"Gasolina",110,"sim","Prata","sim",1600,4,5,85,1150,"sim","sim",3,"sim"
20500,12,"9",2003,5000,"Gasolina",110,"sim","Preta","não",1600,5,5,85,1130,"sim","sim",3,"sim"
17795,9,"12",2003,1,"Gasolina",98,"sim","Prata","não",1400,4,5,19,1065,"não","não",36,"sim"
18245,9,"12",2003,1,"Gasolina",110,"sim","Cinza","não",1600,5,5,19,1075,"não","não",36,"sim"
23750,8,"1",2004,11000,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1130,"não","sim",24,"sim"
19500,8,"1",2004,10077,"Gasolina",97,"sim","Preta","não",1400,5,5,85,1110,"sim","sim",3,"sim"
18950,8,"1",2004,10000,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"não","sim",3,"sim"
21950,8,"1",2004,9788,"Gasolina",110,"sim","Prata","não",1600,5,5,85,1130,"sim","sim",3,"sim"
19950,8,"1",2004,8574,"Gasolina",110,"sim","Preta","não",1600,5,5,85,1130,"sim","sim",3,"sim"
18950,8,"1",2004,7000,"Gasolina",110,"não","Cinza","não",1600,5,5,85,1115,"não","sim",3,"sim"
19950,7,"2",2004,6250,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1115,"não","sim",3,"sim"
21950,8,"1",2004,5000,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1130,"não","sim",3,"sim"
22500,6,"3",2004,3000,"Gasolina",110,"não","Preta","não",1600,5,5,85,1130,"sim","sim",3,"sim"
18500,7,"2",2004,2000,"Gasolina",110,"não","Vermelha","não",1600,5,5,19,1075,"não","sim",24,"sim"
18700,7,"2",2004,450,"Gasolina",97,"sim","Cinza","não",1400,5,5,85,1110,"não","sim",3,"sim"
21125,2,"7",2004,225,"Gasolina",97,"sim","Azul","não",1400,5,5,85,1110,"sim","sim",3,"sim"
21500,2,"7",2004,15,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1130,"sim","sim",3,"sim"
17795,1,"8",2004,1,"Gasolina",98,"sim","Cinza","não",1400,4,5,19,1100,"não","não",36,"sim"
18245,1,"8",2004,1,"Gasolina",110,"sim","Cinza","não",1600,5,5,19,1075,"não","não",36,"sim"
6950,43,"2",2001,243000,"Diesel",69,"não","Branca","não",1900,3,5,185,1110,"não","sim",3,"sim"
9500,38,"7",2001,180638,"Diesel",90,"não","Vermelha","não",2000,4,5,210,1160,"não","sim",3,"sim"
11950,40,"5",2001,179860,"Diesel",90,"sim","Azul","não",2000,5,5,210,1205,"não","sim",3,"sim"
7750,43,"2",2001,178858,"GNV",110,"não","Branca","não",1600,3,5,197,1084,"não","sim",3,"sim"
11950,40,"5",2001,161000,"Diesel",69,"sim","Cinza","não",1900,3,5,185,1105,"não","sim",3,"sim"
4350,44,"1",2001,158320,"Diesel",69,"não","Branca","não",1800,5,5,64,1110,"não","não",3,"sim"
4750,44,"1",2001,131273,"Diesel",69,"sim","Prata","não",1800,5,5,64,1110,"não","não",3,"sim"
11750,40,"5",2001,130062,"Diesel",69,"sim","Vermelha","não",1900,5,5,185,1140,"não","sim",3,"sim"
13250,41,"4",2001,123425,"Diesel",69,"sim","Azul","não",1900,5,5,185,1140,"não","sim",3,"sim"
11950,37,"8",2001,118217,"Gasolina",110,"sim","Vermelha","não",1600,5,5,85,1075,"não","sim",3,"sim"
11900,44,"1",2001,110000,"Diesel",69,"sim","Prata","não",1900,5,5,185,1095,"não","não",6,"sim"
14750,39,"6",2001,108847,"Diesel",90,"sim","Azul","não",2000,5,5,210,1205,"não","sim",3,"sim"
9950,42,"3",2001,105699,"Gasolina",97,"sim","Cinza","não",1400,3,5,69,1025,"não","sim",3,"sim"
11950,39,"6",2001,98823,"GNV",110,"sim","Azul","não",1600,5,5,197,1119,"sim","sim",3,"sim"
11495,44,"1",2001,96829,"Gasolina",110,"sim","Vermelha","não",1600,5,5,85,1075,"sim","sim",3,"sim"
11250,40,"5",2001,96518,"Gasolina",97,"sim","Vermelha","não",1400,3,5,69,1025,"não","sim",12,"sim"
10500,42,"3",2001,92204,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1075,"sim","sim",3,"sim"
10450,35,"10",2001,91456,"Diesel",69,"sim","Vermelha","não",1900,3,5,185,1110,"não","sim",3,"sim"
12950,43,"2",2001,89968,"Diesel",69,"sim","Verde","não",1900,5,5,185,1140,"não","não",3,"não"
11500,44,"1",2001,89757,"Gasolina",110,"sim","Preta","não",1600,3,5,69,1045,"sim","sim",3,"sim"
12500,40,"5",2001,85389,"Gasolina",110,"sim","Prata","não",1600,5,5,85,1075,"não","sim",3,"sim"
10950,43,"2",2001,85017,"Gasolina",97,"não","Vermelha","não",1400,5,5,85,1060,"sim","sim",3,"sim"
11450,41,"4",2001,84312,"Gasolina",110,"não","Cinza","não",1600,5,5,85,1080,"não","sim",3,"sim"
11950,37,"8",2001,82743,"GNV",110,"sim","Verde","não",1600,5,5,197,1121,"sim","sim",3,"sim"
13250,41,"4",2001,81106,"Diesel",69,"sim","Preta","não",1900,5,5,185,1140,"não","sim",3,"sim"
14750,40,"5",2001,80425,"Diesel",90,"sim","Cinza","não",2000,5,5,210,1205,"não","sim",3,"sim"
11790,34,"11",2001,78677,"Gasolina",110,"sim","Azul","sim",1600,5,5,85,1105,"não","sim",3,"sim"
11450,40,"5",2001,78425,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1075,"não","sim",3,"sim"
13500,33,"12",2001,78108,"Diesel",90,"sim","Cinza","não",2000,3,5,210,1170,"sim","sim",3,"sim"
10950,33,"12",2001,77321,"Gasolina",110,"sim","Cinza","não",1600,5,5,85,1075,"não","sim",3,"sim"
13500,33,"12",2001,75699,"Diesel",69,"não","Verde","não",1900,3,5,185,1105,"sim","sim",3,"sim"
10950,41,"4",2001,75697,"Gasolina",97,"sim","Prata","não",1400,3,5,69,1025,"sim","sim",3,"sim"
10950,44,"1",2001,74846,"Gasolina",97,"sim","Preta","não",1400,3,5,69,1025,"sim","sim",3,"sim"
12950,38,"7",2001,74319,"Gasolina",110,"sim","Preta","não",1600,5,5,85,1075,"sim","sim",3,"sim"
11950,43,"2",2001,74285,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1075,"não","sim",6,"não"
11950,40,"5",2001,73042,"Gasolina",110,"sim","Azul","não",1598,5,5,85,1075,"sim","sim",3,"sim"
14950,44,"1",2001,71793,"GNV",110,"sim","Vermelha","não",1600,4,5,197,1067,"sim","sim",3,"sim"
12450,35,"10",2001,71200,"Gasolina",110,"sim","Verde","não",1600,5,5,85,1075,"não","sim",3,"sim"
12950,38,"7",2001,67805,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1075,"sim","sim",3,"sim"
11950,35,"10",2001,65988,"Gasolina",110,"sim","Azul","não",1600,3,5,69,1040,"sim","sim",3,"sim"
11690,34,"11",2001,65345,"Gasolina",97,"sim","Vermelha","não",1400,5,5,85,1060,"sim","sim",3,"sim"
12450,42,"3",2001,64564,"Gasolina",110,"sim","Prata","não",1600,5,5,85,1080,"sim","sim",3,"sim"
12750,36,"9",2001,63459,"Gasolina",97,"sim","Verde","não",1400,5,5,85,1060,"sim","sim",3,"sim"
11925,44,"1",2001,63451,"Gasolina",97,"não","Preta","não",1400,3,5,69,1025,"sim","sim",3,"sim"
12950,33,"12",2001,62000,"Gasolina",110,"sim","Verde","não",1600,5,5,19,1075,"sim","não",12,"sim"
11950,42,"3",2001,61300,"Gasolina",97,"sim","Azul","não",1400,3,5,69,1030,"sim","sim",3,"sim"
12900,41,"4",2001,61200,"Gasolina",110,"sim","Azul","não",1600,3,5,69,1045,"sim","sim",3,"sim"
11900,41,"4",2001,61000,"Gasolina",110,"não","Vermelha","não",1600,5,5,85,1075,"não","sim",3,"sim"
11650,38,"7",2001,60829,"Gasolina",110,"sim","Azul","não",1600,5,5,85,1075,"sim","sim",3,"sim"
